de,en,predicted_de
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,"Un weisse Hund spielt an der weite, das einige grü"
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,Die Eishockey-Playerin als schwarze Unterkleidung mit St
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,Er hat ein schwarzer T-Shirt mit Goldschmieden immer g
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,"Ein schwarze Pferd, die selbst mit ihren Kopf d"
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,Eine Krackenknecht verbricht sich auf einen kleiner
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,"Zwei Mann und eine Frau mit Schmerzen.
"
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",Ein Kind länger lebt um eine Plastikmaschine bei
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,"Unschwarzes Hund am Flussball in der Schneeball steht.
"
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,Eine junge Mädchen stand bei einem grün-gelbem
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,"Die zwei Kinder spielen im Park.
"
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,Ein Tennispieler im grünen Stripen-Schirt hat ihn e
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,"Ein Junge im Roten Schuß spielt an der Seele.
"
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,Ein Kind mit einem roten Kolorant und Kappe trägt einen
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,Zwei Offiziere mit drei Farbenjacketen standn ums blau
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,Zwei Personen standen zusammen über einem Baum im Gras
Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men sit talking near a stone building.,"Zwei Männer sind beim Steinhaus zusammengehen.
"
Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,Eine blonde Jugendliche mit Schutzglasses bei einem braunen
Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,Ein schwarzer und weißer Hund spielt mit einem weiss
Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people are kissing on a sidewalk in front of a limo while people walk by.,"Zwei Menschen sind bei einem Limousine am Straße, um die"
Eine Frau spielt Volleyball.,A woman is playing volleyball.,"Ein Frau spielt Volleyball.
"
Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,Two large dogs are fighting in a dirt field.,Zwei große Hunde schwimmen im Boden eines Baums.
Ein brauner Hund springt über eine Hürde.,A brown dog jumping over a hurdle.,"Ein braunes Hund spielt über einen Hügel.
"
Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man wearing a striped shirt is smoking a cigarette on the street,Ein Mann mit vierstrieben Schrank schließt einen Kochen
Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A little girl is holding a little boy on her lap.,Ein kleines Mädchen arbeitet einen Kleinschwimmer im
"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man trying to ride a very mad bull on a beautiful Saturday afternoon.,"Der Mann, um ein kleiner Hund zu reisen, befand i"
"Kinder bemühen sich, beim Seilziehen zu gewinnen.",Children fight to win a tug-of-war battle.,Kinder können es um einen Tugendwars zu gewinnen
Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A cyclist is leaning a mountain bike around a bend on a dirt track.,Ein Radfahrer leißt einen Milchschlepper um den B
Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a leashed cow at a home.,Zwei Personen und ein Käfer mit Leistungsgefangene H
"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The young boy learns how to ride a bike with his dad.,"Er junge Boy erläutert, wie man mit dem Fahrrad zu"
Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,Boy in red shirt and black shorts sweeps driveway.,Kleiner Junge mit Roten Schuhe und Schwarzem Schutzkarten schlaf
Eine afrikanische Familie steht vor ein paar provisorischen Behausungen.,An african family are standing in front of some makeshift houses.,"Eine Afrikaner Family stand auf einem Gebäude, die es be"
Ein Mann spielt neben einem Baum ein Instrument.,A man playing an instrument next to a tree.,"Ein Mann trug einen Instrument in der Bühne.
"
Zwei Frauen halten sich über einen Tisch an den Händen und lächeln in die Kamera.,Two women are holding hands over a table and smiling at the camera.,Zwei Frauen haben ein Haken und ihnen im Bild zusam
Ein hechelnder brauner Hund geht auf dem Gras.,A panting brown dog walking on the grass.,Eine schnell grüne Hund am Gras lässt sich d
Eine Baseballspielerin in einem schwarzen Shirt fängt eine Spielerin in einem weißen Shirt.,A baseball player in a black shirt just tagged a player in a white shirt.,"Ich bin ein Baseball-Player, im Schwarzem Schuß gefangen hatte"
"Eine Frau hält einen großen Scheck für ""Kids' Food Basket"".",A woman is holding a large check for Kids Food Basket.,Ein Frau trifft einen großen Konto für Kinder- und J
"Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","The two dogs, one with a tennis ball in its mouth, are running through tall grass.","Die zwei Hunde, die mit einem Tennisball im Kopf weitergehen"
Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.,Two adults and two children sit on a park bench.,Zwei Männer und zwei Kinder sind am Flussanlage genau
Eine Frau bläst eine Pusteblume auf einer Wiese.,A woman in a grassy field blows on a dandelion.,Eine Frau im Grasfeld blüht ein Dandelin und kann s
Ein Mann verkauft Kartoffeln an eine Gruppe.,A man sells potatoes to a group of people.,"Er hat Potatoes gesellt, die einen Gruppe anzupassen."
Eine Gruppe versammelt sich auf einer Straße um einem Akkordeonspieler zuzuhören.,A group of people on a street gather together to listen to an accordion.,"Ein Gruppe von Menschen in der Straße verbringen, um einen Accord"
Ein Mann sitzt auf einer Bank und hört Musik auf seinem iPod.,A man sits on a bench listing to his iPod,"Ein Mann sitzt am Bahnhof, um ihnen die Ipods z"
Ein alter Mann in dicker Kleidung sitzt in der U-Bahn und liest eine Zeitung.,An old man on a subway wearing heavy layered clothing is reading a newspaper.,Ein alte Mann am U-Bahn trug eine schwierige Kleid
Ein älterer Mann mit Brille bereitet Fleisch zu.,An older man in glasses is preparing meat.,Ein ältere Mann mit Glasen wird einen Meatsch prepareiert
"Ein Mann macht einen Trick auf dem Fahrrad, bei dem er auf dem Hinterreifen balanciert.",A man performing a trick on a bicycle by standing on the pedals while the bike is upright.,"Der Mann, um ein Trick zu erzählen, führt s"
Ein Mann ist am Strand und macht eine Sandskulptur.,A man is at the beach making a sand sculpture.,"Ein Mann liest im Strand eine Sandskulptur.
"
Mehrere Menschen essen an einem Picknicktisch im Park.,Multiple people in a park eating at a picnic table,"Vier Personen im Park essen um einen Picnictisch.
"
Zwei Frauen werden bei einer Art Baumaßnahme an einem Baum festgeschnallt.,Two women are strapped to a tree in some type of construction job.,Zwei Frauen sind zum Bäumen einzuschließlich
"Ein Cowboy versucht beim Rodeo, die 8 Sekunden zu schaffen.",A cowboy in a rodeo trying to beat the 8 second clock.,"Ein Cowboyschützer im Rodeo, um die zehnte Sekund"
Ein Hund springt durch ein brennendes Hindernis.,A dog is jumping through a fiery obstacle.,"Un Hund spielt unter einem feuerlichen Obstaktiv.
"
Eine übergewichtige Frau mit langen schwarzen Haaren in einem rosa Shirt mit Namensschild trägt Lippenstift auf.,An overweight woman with long black hair in a pink shirt with a name tag is applying lipstick.,"Ein schöner Mädchen mit braune Haare, einer roten T"
Ein Mann repariert das Fahrrad eines kleinen Mädchens.,A man fixing a little girl's bicycle.,Ein Mann fängt eine kleine Jugendliche zum Fah
Zwei Mädchen in bauschigen Kleidern tanzen vor ein paar Musikanten auf der Straße.,Two girls in puffy skirts are dancing in front of some musicians in the street.,Zwei Tochterinnen mit Puffendruckkaffee und einem Mus
Der gelbe Hund trägt einen Stock übers Wasser.,The yellow dog is carrying a stick by water.,Der gelbene Hund lässt einen Sticks spielen im Wasser
Ein Mädchen in einem Sweatshirt verdeckt die Sonne.,A girl in a sweater is blocking the suns rays.,"Eine Mädchen im Sweater blockiert die Sonnenraye.
"
Ein Rockkonzert findet statt.,A rock concert is taking place.,"Eine Rockmusiktage wird gespielt.
"
Drei Frauen in leuchtenden Farben und mit Kopfbedeckungen halten Karten mit Liebesbotschaften.,Three women in bright colors and headdresses are holding love message cards.,"Drei Frauen, die aus roten Farben und Hautkette verw"
Ein brauner Hund gräbt im Dreck.,A brown dog is digging in the dirt.,Ein braunes Hund lässt sich im Gras spielen.
Ein kleiner Junge in einem weiß gestreiften Shirt und mit einem Stirnband hält einen Tennisschläger.,Young boy in a white striped shirt and headband holding a tennis racket.,Ein junge Mädchen mit einem weißen Tuchstoec
Zwei Hunde laufen im Wald weg von der Kamera.,Two dogs running away from the camera in the woods.,"Zwei Hunde fliegen aus dem Fernsehen im Walde.
"
Ein Mädchen spielt komplett bekleidet im Springbrunnen.,A girl is playing in the fountain fully clothed.,Eine Tochter spielt im Fischstollen nicht unclothed.
Drei junge Sumoringer stehen und hören einem Ansager zu,Three young sumo wrestlers standing and listening to an announcer,Drei junge Sumo-Wasserschaftstäufer standen und
"Zwei männliche Wanderer inspizieren einen Baumstamm, der am Rand eines Waldweges liegt.",Two male hikers inspect a log by the side of a forest path.,Zwei Männer werden einem Log an der frühen Weg z
Drei Spieler bringen einen gegnerischen Spieler zu Boden.,Three players bring a team opponent to the ground.,Drei Schüler spielen eine Teammöglichkeit zum
Zwei Jungen überqueren eine Straße in einer Stadt während sie mit einem roten Fußball spielen.,Two boys cross a city street while kicking a red soccer ball.,"Zwei Kinder tragen ein Stadtstrasse, um einen roten Fuß"
Ein Mann hält einen anderen mit seinem Rücken hoch.,A man holding up another with his back.,"Ein Mann mit dem anderen auf seinem Hügel.
"
"Weißer Hund auf einem Berg dreht sich zu etwas außerhalb des Bildes um, Himmel im Hintergrund.","White dog on mountainside turns to face something offstage, sky in background.",Weißes Hund auf Bergkopf verschwindet und begeht s
Ein Junge fährt Skateboard auf einer Skateboardrampe.,A boy riding a skateboard on a skateboarding ramp,"Ein Kind reisen um einem Skateboard zum Schleife.
"
Ein Musiker mit langen Haaren spielt Keyboard.,"A long-haired, male musician is playing on a piano.",Ein langen-haarigen Mädchen Musiker spielt umsonst
Drei Sportler halten Blumensträuße und stehen auf dem Siegerpodest.,Three athletes holding bouquets stand on the victory podium.,"Drei Athleten mit Bouken stehen auf dem Erinnernpodium.
"
Zwei glatzköpfige Drag Queens in roten Kleidern.,Two bald drag queens in red dresses,"Zwei balde Dragdronne im roten Tuxenkopf.
"
Ein kleiner Junge hängt von einer Kleiderstange.,A young boy is hanging onto a clothing rack.,"Ein junge Boy befindet sich an einem Kleidracket.
"
Ein kleines Mädchen in Pink hält sich an einer Stange fest.,A little girl wearing pink is holding on to a bar.,Ein kleines Mädchen in rosa Blumen behandelt sich mit
Ein Mann in Grün springt auf seinem Motorrad über mehrere andere Motorräder.,A man in green jumps serveral motorbikes on his own motorbike.,Ein Mann im Grün fängt sie vier Motorradfahren
Eine Frau spielt im Park mit zwei kleinen Jungen.,A woman playing with two young boys at a park,"Eine Frau spielt mit zwei kindlichen Kinder in der Park.
"
Vier Personen spielen Fußball auf einem Strand.,Four people are playing soccer on a beach.,"Vier Menschen spielen Fußball an der Strande.
"
"Zwei Teenagerinnen umarmen sich vor Radfahrern im Hintergrund, eine trägt einen Fahrradhelm.","Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.","Zwei Jugendliche hießen, eine mit Bicylinder-"
Zwei mittelgroße Hunde laufen über den Schnee.,Two medium sized dogs run across the snow.,"Zwei schwarze Hunde spielen acros den Schnee.
"
"Eine Frau steht auf einem grünen Feld, hält einen weißen Hund und zeigt auf einen braunen Hund.",A woman is standing in a green field holding a white dog and pointing at a brown dog.,Die Frau standt im Gras mit einer weißen Hund und geste
"Ein Tisch voller gerahmter Bilder, ein Freiluftmarkt.","A table full of pictures in frames, at an outdoor market.","Ein Tisch mit Farbenbildern auf dem Gartenmarkt.
"
