de,en,predicted_en
Vier Personen entspannen auf einem grasbewachsenen Hügel mit Ausblick auf ein felsiges Tal.,Four people relaxing on a grassy hill overlooking a rocky valley.,Four people relax on grassy hill overlooking rocky valley.
Ein Junge auf einem Skateboard springt neben Eisenbahnschienen in die Luft.,A boy with a skateboard if jumping in the air along some railway tracks.,A boy on a skate board jumping into the air next to railroad tracks.
Ein Mann in einem orangefarbenen Shirt spielt Tennis.,There is a man in an orange shirt playing tennis.,A man wearing an orange shirt is playing tennis.Input Zwei Mnner ste
Der Hund mit dem roten Halsband knurrt den Hund mit dem blauen Halsband an.,The dog with the red collar is bearing its teeth at the dog with the blue collar.,The dog with the red collar is nipping at the other dogs blue collar.3.
Der Junge ist im Freien und genießt einen Sommertag.,The boy is outside enjoying a summer day.,The boy enjoys an outdoor day on a summer vacation. 3. Exercise Translate German
Ein Arbeiter in einem orangefarbenen Arbeitsanzug kniet und inspiziert eine Maschine.,A worker in an orange work suit is kneeling down inspecting a piece of machinery.,A worker wearing an orange work overall kneels and inspects a machine.
Männer in Cowboyhüten stehen bei einem Rodeo herum.,Men in cowboy hats stand around at a rodeo.,Men dressed as cowboys are standing around at a rodeo. Exercise 2
"Zwei Hunde sind im Schnee, einer von ihnen hat etwas im Maul.",There are two dogs in the snow and one has something in his mouth.,Two dogs are in the snow one has something in its mouth.
"Eine Arbeitnehmerin macht eine Pause, um etwas zu trinken.",An employee takes a break from working to have a drink,A worker taking a break for some water.
Ein beigefarbener Hund läuft hinter einem weißen Hund mit einem gelben Spielzeug.,A beige dog runs behind a white dog holding a yellow toy.,A tan dog runs behind a white dog with a yellow toy.3. Translate German to
Hockeyspieler in weißem Trikot mit einem Schläger.,Hockey player in white uniform with stick,Hockey players wearing white jerseys with a stick.Input Ein Mann und eine Frau
Mann in einem weißen Hemd und Golduhr spielt mit einer Platine.,Man in a white shirt with a gold watch playing with a circuit board.,Man wearing white shirt and gold watch playing with a plastic toy.User Could you please translate
"Ein schwarzes Pferd steckt seinen Kopf durch einen Zaun und versucht, an das Gras zu kommen.",A black horse sticking its head through a fence trying to reach the grass.,A black horse is sticking its head through a fence trying to get the grass on one side of it
"Ein Crack-Opfer tut so, als würde es seine Hände aufwärmen wollen, raucht aber in Wahrheit Crack.",A crackhead is pretending to keep his hands warm but actually he is smoking crack.,A crack addict is about to get his hands on some crack but its not what he really wants
Zwei Typen und eine Frau lächeln.,Two guys and a girl smiling.,Two guys and a woman smiling at each other.
Ein Kind beugt sich über eine Auslage aus blauem und gelbem Plastik während eine Erwachsener zusieht.,"A child leans over a display made up of blue and yellow plastic, while an adult looks on.",A child is bending over an object made of blue and yellow plastic while someone watches from the side.
Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,A black-and-white dog goes for a flattened ball on the snow.,A black and white dog runs towards a deflated ball in the snow.3. Translate
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,A young girl is standing next to a yellow cat on top of a kitchen countertop.
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,The two children are playing on the playground.
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,A tennis player wearing a green striped shirt holds his hand out front of him.User Can
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,A boy wearing a red bathing suit is playing in the water.User Can you translate this
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,A child with a red jacket and hat holds large piece of snow.Your task
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,Two police officers wearing bright yellow warning vest stand with pedestrians outside of a white tent.3.
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,Two people are standing next to a tree.
Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men sit talking near a stone building.,Two men are sitting and talking near a stone building.2 Men Sitting Talking Near Stone Building
Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,A brown child wearing glasses holds a young girl with red sweatshirt and yellow boots.User
Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,A black and white dog playing with a white ball.User Can you tell me what the
Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people are kissing on a sidewalk in front of a limo while people walk by.,Two people kiss on the sidewalk in front of a limo as people walk by.Input
Eine Frau spielt Volleyball.,A woman is playing volleyball.,A woman is playing volleyball.Your task Rewrite the above paragraph into
Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,Two large dogs are fighting in a dirt field.,"Two large dogs are fighting on an unkempt, uncared for field of grass. "
Ein brauner Hund springt über eine Hürde.,A brown dog jumping over a hurdle.,A brown dog jumps over a hurdle.Your task Rewrite the above
Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man wearing a striped shirt is smoking a cigarette on the street,A man wearing a striped shirt is smoking on the street corner.User Can you translate this
Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A little girl is holding a little boy on her lap.,A little girl is holding a small boy on her lap.
"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man trying to ride a very mad bull on a beautiful Saturday afternoon.,A man tries to ride a very hot bull on beautiful fall afternoon.
"Kinder bemühen sich, beim Seilziehen zu gewinnen.",Children fight to win a tug-of-war battle.,Children are competing in a rope pulling contest.
Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A cyclist is leaning a mountain bike around a bend on a dirt track.,A cyclist leans into the curve on an unpaved trail with a mountain bike.Question What
Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a leashed cow at a home.,Two people and a cow in front of a house.Input Ein Mann mit einer
"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The young boy learns how to ride a bike with his dad.,The young boy is learning how to ride a bike with his dads help.
Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,Boy in red shirt and black shorts sweeps driveway.,A boy wearing a red shirt and black shorts is sweeping a floor.User Can you tell
Eine afrikanische Familie steht vor ein paar provisorischen Behausungen.,An african family are standing in front of some makeshift houses.,An African family standing in front of a few makeshift homes.
Ein Mann spielt neben einem Baum ein Instrument.,A man playing an instrument next to a tree.,A man is playing an instrument next to a tree.Complete detailed textbooklevel python code
Zwei Frauen halten sich über einen Tisch an den Händen und lächeln in die Kamera.,Two women are holding hands over a table and smiling at the camera.,Two women are holding hands over a table smiling at the camera.
Ein hechelnder brauner Hund geht auf dem Gras.,A panting brown dog walking on the grass.,A happy brown dog is walking on the grass. Exercise 2 Translate German
Eine Baseballspielerin in einem schwarzen Shirt fängt eine Spielerin in einem weißen Shirt.,A baseball player in a black shirt just tagged a player in a white shirt.,A female baseball player wearing a black shirt is catching another female player who wears white.Input
"Eine Frau hält einen großen Scheck für ""Kids' Food Basket"".",A woman is holding a large check for Kids Food Basket.,A woman is holding a large check for the Kids food basket.User Can you please translate
"Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","The two dogs, one with a tennis ball in its mouth, are running through tall grass.",The two dogs are running through tall grass with one carrying a tennis ball in its mouth.User
Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.,Two adults and two children sit on a park bench.,Two adults and two children are sitting on park benches.Input Ein Mann in wei
Eine Frau bläst eine Pusteblume auf einer Wiese.,A woman in a grassy field blows on a dandelion.,A woman blows out a candle on the grass in an open field.User Can you translate
Ein Mann verkauft Kartoffeln an eine Gruppe.,A man sells potatoes to a group of people.,A man selling potatoes at a group of people.
