en,de,ende
A black-and-white dog goes for a flattened ball on the snow.,Ein schwarz-weißer Hund läuft zu einem kaputten Ball im Schnee.,Ein schwarz-weißer Hund geht für eine geschmackte Kugel auf den Schnee.
A young girl standing next to a yellow cat on a kitchen countertop.,Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,Ein junges Mädchen steht neben einer gelben Katze auf einem Küchentisch.
The two kids are playing at the playground.,Die zwei Kinder Spielen auf dem Spielplatz.,Die beiden Kinder spielen auf dem Spielplatz.
A tennis player in a green striped shirt is holding his hand up to his mouth.,Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,Ein Tennisspieler in einem grünen Streifen-Shirt hält seine Hand bis zu seinem Mund.
A boy in a red suit plays in the water.,Ein Junge in einem roten Badeanzug spielt im Wasser.,Ein Junge in rotem Anzug spielt im Wasser.
A child wearing a red coat and cap is holding a large chunk of snow.,Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,"Ein Kind, das einen roten Mantel und eine Mütze trägt, hält einen großen Schnee."
Two officers with orange jackets stand outside a white tent with onlookers.,Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Zwei Offiziere mit orangefarbenen Jacken stehen vor einem weißen Zelt mit Zuschauern.
Two people standing next to a tree on the ground.,Zwei Personen stehen neben einem Baum.,Zwei Leute stehen neben einem Baum auf dem Boden.
Two men sit talking near a stone building.,Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Zwei Männer sitzen und sprechen in der Nähe eines Steingebäudes.
A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,Ein brünettes Kind mit Brillen hält ein blondes Kind mit einem roten Pullover und gelben Stiefeln.
A black and white dog is playing with a white ball.,Ein schwarz-weißer Hund spielt mit einem weißen Ball.,Ein schwarz-weißer Hund spielt mit einem weißen Ball.
Two people are kissing on a sidewalk in front of a limo while people walk by.,Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,"Zwei Menschen küssen sich auf dem Bürgersteig vor einer Limousine, während die Leute vorbeilaufen."
A woman is playing volleyball.,Eine Frau spielt Volleyball.,Eine Frau spielt Volleyball.
Two large dogs are fighting in a dirt field.,Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,Zwei große Hunde kämpfen auf einem Schmutzfeld.
A brown dog jumping over a hurdle.,Ein brauner Hund springt über eine Hürde.,Ein brauner Hund springt über eine Hürde.
A man wearing a striped shirt is smoking a cigarette on the street,Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,Ein Mann mit einem gestreiften Hemd raucht eine Zigarette auf der Straße
A little girl is holding a little boy on her lap.,Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.
A man trying to ride a very mad bull on a beautiful Saturday afternoon.,"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.","Ein Mann versucht, einen sehr verrückten Stier an einem schönen Samstagnachmittag zu reiten."
Children fight to win a tug-of-war battle.,"Kinder bemühen sich, beim Seilziehen zu gewinnen.","Kinder kämpfen, um einen Zug-of-War-Kampf zu gewinnen."
A cyclist is leaning a mountain bike around a bend on a dirt track.,Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,Ein Radfahrer lehnt ein Mountainbike um eine Kurve auf einem Schmutzgleis.
Two people and a leashed cow at a home.,Zwei Personen und eine angebundene Kuh vor einem Haus.,Zwei Menschen und eine geschlüftete Kuh in einem Haus.
The young boy learns how to ride a bike with his dad.,"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",Der junge Junge lernt mit seinem Vater Radfahren.
Boy in red shirt and black shorts sweeps driveway.,Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,Junge in rotem Hemd und schwarzen Shorts schlägt den Durchgang.
An african family are standing in front of some makeshift houses.,Eine afrikanische Familie steht vor ein paar provisorischen Behausungen.,Eine afrikanische Familie steht vor einigen provisorischen Häusern.
A man playing an instrument next to a tree.,Ein Mann spielt neben einem Baum ein Instrument.,Ein Mann spielt ein Instrument neben einem Baum.
Two women are holding hands over a table and smiling at the camera.,Zwei Frauen halten sich über einen Tisch an den Händen und lächeln in die Kamera.,Zwei Frauen halten sich über einen Tisch und lächeln auf die Kamera.
A panting brown dog walking on the grass.,Ein hechelnder brauner Hund geht auf dem Gras.,Ein schwankender brauner Hund geht auf dem Gras.
A baseball player in a black shirt just tagged a player in a white shirt.,Eine Baseballspielerin in einem schwarzen Shirt fängt eine Spielerin in einem weißen Shirt.,Ein Baseballspieler in schwarzem Hemd hat gerade einen Spieler in weißem Hemd gekennzeichnet.
A woman is holding a large check for Kids Food Basket.,"Eine Frau hält einen großen Scheck für ""Kids' Food Basket"".",Eine Frau hält einen großen Check für Kinder Lebensmittelkorb.
"The two dogs, one with a tennis ball in its mouth, are running through tall grass.","Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","Die beiden Hunde, einer mit einem Tennisball im Mund, laufen durch das hohe Gras."
Two adults and two children sit on a park bench.,Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.,Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.
A woman in a grassy field blows on a dandelion.,Eine Frau bläst eine Pusteblume auf einer Wiese.,Eine Frau auf einem Grasfeld schlägt auf einen Löwen.
A man sells potatoes to a group of people.,Ein Mann verkauft Kartoffeln an eine Gruppe.,Ein Mann verkauft Kartoffeln an eine Gruppe von Menschen.
A group of people on a street gather together to listen to an accordion.,Eine Gruppe versammelt sich auf einer Straße um einem Akkordeonspieler zuzuhören.,"Eine Gruppe von Menschen auf der Straße versammelt sich zusammen, um eine Akkordeon zu hören."
A man sits on a bench listing to his iPod,Ein Mann sitzt auf einer Bank und hört Musik auf seinem iPod.,Ein Mann sitzt auf einer Bank und listet sich auf seinen iPod
An old man on a subway wearing heavy layered clothing is reading a newspaper.,Ein alter Mann in dicker Kleidung sitzt in der U-Bahn und liest eine Zeitung.,"Ein alter Mann in der U-Bahn, der schwere Schichtenkleidung trägt, liest eine Zeitung."
An older man in glasses is preparing meat.,Ein älterer Mann mit Brille bereitet Fleisch zu.,Ein älterer Mann in Brillen bereitet Fleisch vor.
A man performing a trick on a bicycle by standing on the pedals while the bike is upright.,"Ein Mann macht einen Trick auf dem Fahrrad, bei dem er auf dem Hinterreifen balanciert.","Ein Mann, der einen Trick auf einem Fahrrad durch das Stehen auf den Pedalen ausführt, während das Fahrrad aufrecht steht."
A man is at the beach making a sand sculpture.,Ein Mann ist am Strand und macht eine Sandskulptur.,Ein Mann macht am Strand eine Sandskulptur.
Multiple people in a park eating at a picnic table,Mehrere Menschen essen an einem Picknicktisch im Park.,Mehrere Menschen im Park essen an einem Picknicktisch
Two women are strapped to a tree in some type of construction job.,Zwei Frauen werden bei einer Art Baumaßnahme an einem Baum festgeschnallt.,Zwei Frauen sind an einen Baum in irgendeiner Art von Bauarbeit gebunden.
A cowboy in a rodeo trying to beat the 8 second clock.,"Ein Cowboy versucht beim Rodeo, die 8 Sekunden zu schaffen.","Ein Cowboy in einem Rodeo versucht, die 8 Sekunden Uhr zu schlagen."
A dog is jumping through a fiery obstacle.,Ein Hund springt durch ein brennendes Hindernis.,Ein Hund springt durch ein feuriges Hindernis.
An overweight woman with long black hair in a pink shirt with a name tag is applying lipstick.,Eine übergewichtige Frau mit langen schwarzen Haaren in einem rosa Shirt mit Namensschild trägt Lippenstift auf.,Eine übergewichtige Frau mit langen schwarzen Haaren in einem rosa Hemd mit einem Namensschild setzt Lippenstift.
A man fixing a little girl's bicycle.,Ein Mann repariert das Fahrrad eines kleinen Mädchens.,Ein Mann repariert ein Mädchens Fahrrad.
Two girls in puffy skirts are dancing in front of some musicians in the street.,Zwei Mädchen in bauschigen Kleidern tanzen vor ein paar Musikanten auf der Straße.,Zwei Mädchen in puffy Rocks tanzen vor einigen Musikern auf der Straße.
The yellow dog is carrying a stick by water.,Der gelbe Hund trägt einen Stock übers Wasser.,Der gelbe Hund trägt einen Stock am Wasser.
A girl in a sweater is blocking the suns rays.,Ein Mädchen in einem Sweatshirt verdeckt die Sonne.,Ein Mädchen in einem Pullover blockiert die Sonnenstrahlen.
A rock concert is taking place.,Ein Rockkonzert findet statt.,Ein Rockkonzert findet statt.
Three women in bright colors and headdresses are holding love message cards.,Drei Frauen in leuchtenden Farben und mit Kopfbedeckungen halten Karten mit Liebesbotschaften.,Drei Frauen in hellen Farben und Kopfbekleidungen halten Liebesbotschaften.
A brown dog is digging in the dirt.,Ein brauner Hund gräbt im Dreck.,Ein brauner Hund grabt im Schmutz.
Young boy in a white striped shirt and headband holding a tennis racket.,Ein kleiner Junge in einem weiß gestreiften Shirt und mit einem Stirnband hält einen Tennisschläger.,Junger Junge in einem weißen gestreiften Hemd und Kopfband mit Tennisschläger.
Two dogs running away from the camera in the woods.,Zwei Hunde laufen im Wald weg von der Kamera.,Zwei Hunderennen weg von der Kamera im Wald.
A girl is playing in the fountain fully clothed.,Ein Mädchen spielt komplett bekleidet im Springbrunnen.,Ein Mädchen spielt im Brunnen voll bekleidet.
Three young sumo wrestlers standing and listening to an announcer,Drei junge Sumoringer stehen und hören einem Ansager zu,Drei junge Sumo-Wrestler stehen und hören auf einen Ankündiger
Two male hikers inspect a log by the side of a forest path.,"Zwei männliche Wanderer inspizieren einen Baumstamm, der am Rand eines Waldweges liegt.",Zwei männliche Wanderer inspizieren ein Block an der Seite eines Waldweges.
Three players bring a team opponent to the ground.,Drei Spieler bringen einen gegnerischen Spieler zu Boden.,Drei Spieler bringen einen Teamgegner auf den Boden.
Two boys cross a city street while kicking a red soccer ball.,Zwei Jungen überqueren eine Straße in einer Stadt während sie mit einem roten Fußball spielen.,"Zwei Jungs überqueren eine Stadtstraße, während sie einen roten Fußballball schlagen."
A man holding up another with his back.,Ein Mann hält einen anderen mit seinem Rücken hoch.,Ein Mann hält einen anderen mit dem Rücken auf.
"White dog on mountainside turns to face something offstage, sky in background.","Weißer Hund auf einem Berg dreht sich zu etwas außerhalb des Bildes um, Himmel im Hintergrund.","Weißer Hund auf der Bergseite dreht sich etwas außerhalb der Bühne, Himmel im Hintergrund zu Gesicht."
A boy riding a skateboard on a skateboarding ramp,Ein Junge fährt Skateboard auf einer Skateboardrampe.,Ein Junge reiten ein Skateboard auf einer Skateboarding Rampe
"A long-haired, male musician is playing on a piano.",Ein Musiker mit langen Haaren spielt Keyboard.,"Ein langhaariger, männlicher Musiker spielt auf einem Klavier."
Three athletes holding bouquets stand on the victory podium.,Drei Sportler halten Blumensträuße und stehen auf dem Siegerpodest.,"Drei Athleten, die Bouquets halten, stehen auf dem Siegespodium."
Two bald drag queens in red dresses,Zwei glatzköpfige Drag Queens in roten Kleidern.,Zwei kahle Drag Königinnen in roten Kleidern
A young boy is hanging onto a clothing rack.,Ein kleiner Junge hängt von einer Kleiderstange.,Ein junger Junge hängt an einem Kleiderständer.
A little girl wearing pink is holding on to a bar.,Ein kleines Mädchen in Pink hält sich an einer Stange fest.,Ein kleines Mädchen trägt rosa und hält sich an einer Bar fest.
A man in green jumps serveral motorbikes on his own motorbike.,Ein Mann in Grün springt auf seinem Motorrad über mehrere andere Motorräder.,Ein Mann in Grün springt auf seinem eigenen Motorrad serveral Motorräder.
A woman playing with two young boys at a park,Eine Frau spielt im Park mit zwei kleinen Jungen.,Eine Frau spielt mit zwei Jungen im Park
Four people are playing soccer on a beach.,Vier Personen spielen Fußball auf einem Strand.,Vier Leute spielen Fußball auf einem Strand.
"Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.","Zwei Teenagerinnen umarmen sich vor Radfahrern im Hintergrund, eine trägt einen Fahrradhelm.","Zwei Teenagermädchen umarmen sich, eine trägt einen Fahrradhelm, mit Radfahrern im Hintergrund."
Two medium sized dogs run across the snow.,Zwei mittelgroße Hunde laufen über den Schnee.,Zwei mittelgroße Hunde laufen über den Schnee.
A woman is standing in a green field holding a white dog and pointing at a brown dog.,"Eine Frau steht auf einem grünen Feld, hält einen weißen Hund und zeigt auf einen braunen Hund.",Eine Frau steht auf einem grünen Feld und hält einen weißen Hund und zeigt auf einen braunen Hund.
"A table full of pictures in frames, at an outdoor market.","Ein Tisch voller gerahmter Bilder, ein Freiluftmarkt.","Ein Tisch voller Bilder in Rahmen, auf einem Außenmarkt."
Two people sit at a table outside against a wall and make faces.,Zwei Personen sitzen gegen eine Wand gelehnt an einem Tisch im Freien und machen Grimassen.,Zwei Leute sitzen an einem Tisch draußen gegen eine Wand und machen Gesichter.
