de,en,predicted_de
Ein junges Mädchen steht neben einer gelben Katze auf einer Küchenarbeitsplatte.,A young girl standing next to a yellow cat on a kitchen countertop.,Ein junges Mädchen steht neben einem gelben Katzen auf
Die zwei Kinder Spielen auf dem Spielplatz.,The two kids are playing at the playground.,"Das zwei Kinder spielen auf dem Spielplatz. 


"
Ein Tennisspieler in einem grün gestreiften Shirt hält seine Hand vor den Mund.,A tennis player in a green striped shirt is holding his hand up to his mouth.,Ein Tennisspieler in einem grünen gestreiften Hemd h
Ein Junge in einem roten Badeanzug spielt im Wasser.,A boy in a red suit plays in the water.,"Ein Junge im roten Anzug spielt im Wasser. 


"
Ein Kind mit roter Jacke und Mütze hält ein großes Stück Schnee.,A child wearing a red coat and cap is holding a large chunk of snow.,Ein Kind mit roter Mantel und Mütze hält eine große
Zwei Polizisten in orangefarbenen Warnwesten stehen mit Passanten vor einem weißen Zelt.,Two officers with orange jackets stand outside a white tent with onlookers.,Zwei Polizisten mit orangem Jacken stehen vor einem wei
Zwei Personen stehen neben einem Baum.,Two people standing next to a tree on the ground.,"Zwei Menschen stehen neben einem Baum im Boden. 


"
Zwei Männer sitzen und unterhalten sich neben einem Gebäude aus Stein.,Two men sit talking near a stone building.,Zwei Männer unterhalten sich bei einem Steinhaus neben
Ein brünettes Kind mit Brille hält ein blondes Kind in einem roten Sweatshirt und gelben Stiefeln.,A brunette child with glasses holding a blond child wearing a red sweater and yellow boots.,"Ein braunes Kind mit Brille hält einen blonder Kind, die in"
Ein schwarz-weißer Hund spielt mit einem weißen Ball.,A black and white dog is playing with a white ball.,Ein schwarz-weißer Hund spielt mit einem weiß
Zwei Personen küssen sich auf einem Gehsteig vor eine Limousine während Leute vorbeigehen.,Two people are kissing on a sidewalk in front of a limo while people walk by.,Zwei Personen küsst sich ein Fuß an einer Bürger
Eine Frau spielt Volleyball.,A woman is playing volleyball.,"Eine Frau spielt Volleyball. 


Exercise 1: What sport"
Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,Two large dogs are fighting in a dirt field.,Zwei große Hunde kämpfen auf einem Feld mit Dreck
Ein brauner Hund springt über eine Hürde.,A brown dog jumping over a hurdle.,"Ein brauner Hund springt über einen Obst. 


"
Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man wearing a striped shirt is smoking a cigarette on the street,Ein Mann in einem gestreiften Hemd raucht an der Straße
Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A little girl is holding a little boy on her lap.,Ein kleines Mädchen hält einen kleinen Jungen an
"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man trying to ride a very mad bull on a beautiful Saturday afternoon.,"Ein Mann versucht, einen sehr männlichen Bullen zu"
"Kinder bemühen sich, beim Seilziehen zu gewinnen.",Children fight to win a tug-of-war battle.,"Kinder kämpfen, um einen Kampf zu gewinnen, die T"
Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A cyclist is leaning a mountain bike around a bend on a dirt track.,Ein Radfahrer lehnt einen Mountainbike um einer Kurve an e
Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a leashed cow at a home.,"Zwei Menschen und eine kleines Holstein in der Wohnung. 

"
"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The young boy learns how to ride a bike with his dad.,"Das kleine Junge lernt mit seinem Vater, das Fahrrad"
Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,Boy in red shirt and black shorts sweeps driveway.,Ein Junge in rotem Hemd und schwarzer Hose rückt den
Eine afrikanische Familie steht vor ein paar provisorischen Behausungen.,An african family are standing in front of some makeshift houses.,Eine Afrikanische Familie steht vor einem verschmutzten
Ein Mann spielt neben einem Baum ein Instrument.,A man playing an instrument next to a tree.,"Ein Mann spielt eine Instrument neben einem Baum. 


##"
Zwei Frauen halten sich über einen Tisch an den Händen und lächeln in die Kamera.,Two women are holding hands over a table and smiling at the camera.,Zwei Frauen halten Hände über einem Tisch und l
Ein hechelnder brauner Hund geht auf dem Gras.,A panting brown dog walking on the grass.,"Ein brunnen Hund läuft auf dem Gras. 


"
Eine Baseballspielerin in einem schwarzen Shirt fängt eine Spielerin in einem weißen Shirt.,A baseball player in a black shirt just tagged a player in a white shirt.,"Ein Baseballspieler mit schwarzer Oberteil, der einen Spieler in"
"Eine Frau hält einen großen Scheck für ""Kids' Food Basket"".",A woman is holding a large check for Kids Food Basket.,Eine Frau hält ein großes Schirm für Kinder-Foodb
"Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","The two dogs, one with a tennis ball in its mouth, are running through tall grass.",Die zwei Hunde laufen mit einem Tennisball im Maul durch hohe
Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.,Two adults and two children sit on a park bench.,Zwei Erwachsene und zwei Kinder sind auf einer Parkbank an
Eine Frau bläst eine Pusteblume auf einer Wiese.,A woman in a grassy field blows on a dandelion.,Eine Frau bläst einen Blasenblatt auf einem Wies
Ein Mann verkauft Kartoffeln an eine Gruppe.,A man sells potatoes to a group of people.,Ein Mann verkauft Potteln zu einer Personengruppe. 
Eine Gruppe versammelt sich auf einer Straße um einem Akkordeonspieler zuzuhören.,A group of people on a street gather together to listen to an accordion.,Eine Gruppe von Menschen befindet sich auf einer Straße um
Ein Mann sitzt auf einer Bank und hört Musik auf seinem iPod.,A man sits on a bench listing to his iPod,"Ein Mann sitzt an einem Bank und zeigt den iPod. 

"
Ein alter Mann in dicker Kleidung sitzt in der U-Bahn und liest eine Zeitung.,An old man on a subway wearing heavy layered clothing is reading a newspaper.,Ein alter Mann in einer U-Bahn trägt große leichte
Ein älterer Mann mit Brille bereitet Fleisch zu.,An older man in glasses is preparing meat.,Ein älterer Mann mit Brille bereitet Tiere einen Essen z
"Ein Mann macht einen Trick auf dem Fahrrad, bei dem er auf dem Hinterreifen balanciert.",A man performing a trick on a bicycle by standing on the pedals while the bike is upright.,"Ein Mann macht eine Kunsttrick an dem Fahrrad, der von den"
Ein Mann ist am Strand und macht eine Sandskulptur.,A man is at the beach making a sand sculpture.,"Ein Mann am Strand macht eine Sandkulptur. 


Exercise"
Mehrere Menschen essen an einem Picknicktisch im Park.,Multiple people in a park eating at a picnic table,"Mehrere Personen essen bei einem Parktisch. 

"
Zwei Frauen werden bei einer Art Baumaßnahme an einem Baum festgeschnallt.,Two women are strapped to a tree in some type of construction job.,"Zwei Frauen sind geschränkt an einem Baum,"
"Ein Cowboy versucht beim Rodeo, die 8 Sekunden zu schaffen.",A cowboy in a rodeo trying to beat the 8 second clock.,"Ein Cowboy versucht, den Kontroll zu erreichen, die 8 Sek"
Ein Hund springt durch ein brennendes Hindernis.,A dog is jumping through a fiery obstacle.,Ein Hund springt durch einen feuerlichen Obstacle hoch. 
Eine übergewichtige Frau mit langen schwarzen Haaren in einem rosa Shirt mit Namensschild trägt Lippenstift auf.,An overweight woman with long black hair in a pink shirt with a name tag is applying lipstick.,Eine überwachsene Frau mit langem schwarzen Haar und
Ein Mann repariert das Fahrrad eines kleinen Mädchens.,A man fixing a little girl's bicycle.,Ein Mann repariert einem kleinen Mädchen ihrer Fahr
Zwei Mädchen in bauschigen Kleidern tanzen vor ein paar Musikanten auf der Straße.,Two girls in puffy skirts are dancing in front of some musicians in the street.,Zwei Mädchen mit kopfhöchsten Rocken tanzen vor
Der gelbe Hund trägt einen Stock übers Wasser.,The yellow dog is carrying a stick by water.,"Der gelber Hund trägt einen Stock am Wasser. 


Exercise"
Ein Mädchen in einem Sweatshirt verdeckt die Sonne.,A girl in a sweater is blocking the suns rays.,Ein Mädchen im Pullover schneidet die Sonnenraden zu
Ein Rockkonzert findet statt.,A rock concert is taking place.,Eine Felsenkonzert bei einem Rock-Konzerte wird.
Drei Frauen in leuchtenden Farben und mit Kopfbedeckungen halten Karten mit Liebesbotschaften.,Three women in bright colors and headdresses are holding love message cards.,Drei Frauen im bunten Farben und mit Kopfbedeckung halten
Ein brauner Hund gräbt im Dreck.,A brown dog is digging in the dirt.,"Ein brauner Hund, der im Dach ins Boden gäckt. "
Ein kleiner Junge in einem weiß gestreiften Shirt und mit einem Stirnband hält einen Tennisschläger.,Young boy in a white striped shirt and headband holding a tennis racket.,Ein kleiner Junge mit weißen gestreiftem Hemd und Kop
Zwei Hunde laufen im Wald weg von der Kamera.,Two dogs running away from the camera in the woods.,"Zwei Hunde laufen im Wald vor der Kamera. 


"
Ein Mädchen spielt komplett bekleidet im Springbrunnen.,A girl is playing in the fountain fully clothed.,"Ein Mädchen, die gekleidet ist, spielt im"
Drei junge Sumoringer stehen und hören einem Ansager zu,Three young sumo wrestlers standing and listening to an announcer,Drei junge Sumowarriors stehen und hören einen Announcer z
"Zwei männliche Wanderer inspizieren einen Baumstamm, der am Rand eines Waldweges liegt.",Two male hikers inspect a log by the side of a forest path.,Zwei Männer fahren einen Baumweg und unterrichten
Drei Spieler bringen einen gegnerischen Spieler zu Boden.,Three players bring a team opponent to the ground.,"Drei Spieler erbringen einen Team-Opponent zur Boden. 

"
Zwei Jungen überqueren eine Straße in einer Stadt während sie mit einem roten Fußball spielen.,Two boys cross a city street while kicking a red soccer ball.,Zwei Jungen überqueren eine Stadtstraße und spiel
Ein Mann hält einen anderen mit seinem Rücken hoch.,A man holding up another with his back.,"Ein Mann hält einen anderen mit seinem Rücken zu,"
"Weißer Hund auf einem Berg dreht sich zu etwas außerhalb des Bildes um, Himmel im Hintergrund.","White dog on mountainside turns to face something offstage, sky in background.",Ein weißer Hund auf einem Bergsteig zwischen i
Ein Junge fährt Skateboard auf einer Skateboardrampe.,A boy riding a skateboard on a skateboarding ramp,Ein Junge fährt mit einem Skateboard auf einer Rampe
Ein Musiker mit langen Haaren spielt Keyboard.,"A long-haired, male musician is playing on a piano.","Ein lohhaariger Mann spielt in einem Klavier. 


Ex"
Drei Sportler halten Blumensträuße und stehen auf dem Siegerpodest.,Three athletes holding bouquets stand on the victory podium.,"Drei Leute, die Blumen in Hand hochstehen auf der Wunderp"
Zwei glatzköpfige Drag Queens in roten Kleidern.,Two bald drag queens in red dresses,Zwei Bald-Schwarze Dragköniginen in roten Kleidern.
Ein kleiner Junge hängt von einer Kleiderstange.,A young boy is hanging onto a clothing rack.,Ein kleiner Junge hängt an einem Kleidungrüst
Ein kleines Mädchen in Pink hält sich an einer Stange fest.,A little girl wearing pink is holding on to a bar.,Ein kleines Mädchen in rosa hält sich an einem
Ein Mann in Grün springt auf seinem Motorrad über mehrere andere Motorräder.,A man in green jumps serveral motorbikes on his own motorbike.,Ein Mann auf einem grünen Motorrad springt jemandem zwei Mot
Eine Frau spielt im Park mit zwei kleinen Jungen.,A woman playing with two young boys at a park,Eine Frau spielt mit zwei kleinen Jungen in einem Park.
Vier Personen spielen Fußball auf einem Strand.,Four people are playing soccer on a beach.,"Vier Menschen spielen Fußball am Strand. 


"
"Zwei Teenagerinnen umarmen sich vor Radfahrern im Hintergrund, eine trägt einen Fahrradhelm.","Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.",Zwei Teenager umarmen sich mit einer Fahrradhelmen an und im
Zwei mittelgroße Hunde laufen über den Schnee.,Two medium sized dogs run across the snow.,"Zwei mittlere Hunde laufen über den Schnee. 

"
"Eine Frau steht auf einem grünen Feld, hält einen weißen Hund und zeigt auf einen braunen Hund.",A woman is standing in a green field holding a white dog and pointing at a brown dog.,Eine Frau steht in einem grünen Feld und hält einen we
"Ein Tisch voller gerahmter Bilder, ein Freiluftmarkt.","A table full of pictures in frames, at an outdoor market.",Eine Tisch voller Bildern mit Fotozeichen bei einem Markt im
Zwei Personen sitzen gegen eine Wand gelehnt an einem Tisch im Freien und machen Grimassen.,Two people sit at a table outside against a wall and make faces.,Zwei Menschen sitzen in Freien an einer Wand und machen Gesichte.
Zwei Typen mit gepiercten Brustwarzen lächeln.,Two guys with nipple piercings are smiling.,"Zwei Männer mit Nipplepiercingen lächeln. 

"
Ein Kind liegt auf einem beigefarbenen Teppich und lacht.,A child is laying on a beige rug laughing.,Ein Kind liegt auf einem weißen Teppich und lacht.
"Ein Mann und eine Frau sitzen, fein gekleidet und mit eingehakten Armen.",A man and woman are locked arms sitting down and all dressed up.,"Ein Mann und eine Frau sind locken an ihren Arme, sit"
Zwei Frauen beim Schlammringen in einem Kinderbecken.,Two woman are mud wrestling in a kiddie pool.,Zwei Frauen rauchen einen Schlag mit Mud im Kinderspitzsch
Ein Typ in einem weißen Shirt schlendert mit einem Drink in der Hand.,A guy in a white shirt is walking with a drink in his hand.,Ein Mann im weißen Hemd geht mit einem Getränk
"Die Silhouetten von zwei Personen auf einem See, der einen bunten Himmel reflektiert.",Two people are silhouetted against a lake reflecting a painted sky.,Zwei Personen sind im Spiegel eines Seereschlags gesichts von
