de,en,predicted_de,predicted_en
Zwei große Hunde kämpfen auf einem unbefestigten unbewachsenen Gelände.,Two large dogs are fighting in a dirt field.,,"Two big dogs are fighting on an abandoned and deserted ground.
"
Ein brauner Hund springt über eine Hürde.,A brown dog jumping over a hurdle.,,"A brown dog jumps over a hurdle.
"
Ein Mann in einem gestreiften Shirt raucht auf der Straße eine Zigarette.,A man wearing a striped shirt is smoking a cigarette on the street,,"A man is smoking on the street while wearing a tight shirt.
"
Ein kleines Mädchen hält einen kleinen Jungen auf ihrem Schoß.,A little girl is holding a little boy on her lap.,,"A little girl holds her small boy on the sofa.
"
"Ein Mann versucht an einem schönen Samstagnachmittag, einen sehr wütenden Bullen zu reiten.",A man trying to ride a very mad bull on a beautiful Saturday afternoon.,,"A man is trying to go on a pleasant afternoon walk with a very hungry bull.
"
"Kinder bemühen sich, beim Seilziehen zu gewinnen.",Children fight to win a tug-of-war battle.,,"Children love to play and win while riding the seesaw.
"
Ein Radfahrer lehnt sich auf einer unbefestigten Piste mit einem Mountainbike in die Kurve.,A cyclist is leaning a mountain bike around a bend on a dirt track.,,"A mountain biker rides on an uneven trail with a curved path.
"
Zwei Personen und eine angebundene Kuh vor einem Haus.,Two people and a leashed cow at a home.,,"Two people and a cow in front of a house.
"
"Der kleine Junge lernt mit seinem Vater, Rad zu fahren.",The young boy learns how to ride a bike with his dad.,,"The little boy learns how to ride a bike with his father's help.
"
Ein Junge in einem roten Shirt und schwarzen Shorts kehrt eine Einfahrt.,Boy in red shirt and black shorts sweeps driveway.,,"A young man wearing a red shirt and black shorts takes an elevator.
"
Eine afrikanische Familie steht vor ein paar provisorischen Behausungen.,An african family are standing in front of some makeshift houses.,,"An African family lives in a few primitive huts.
"
Ein Mann spielt neben einem Baum ein Instrument.,A man playing an instrument next to a tree.,,"A man plays next to a tree an instrument.
"
Zwei Frauen halten sich über einen Tisch an den Händen und lächeln in die Kamera.,Two women are holding hands over a table and smiling at the camera.,,"Two women are sitting at a table and talking on the phone.
"
Ein hechelnder brauner Hund geht auf dem Gras.,A panting brown dog walking on the grass.,,"A cheerful brown dog goes for a walk on the grass.
"
Eine Baseballspielerin in einem schwarzen Shirt fängt eine Spielerin in einem weißen Shirt.,A baseball player in a black shirt just tagged a player in a white shirt.,,"A baseball player wears a red shirt and plays against another player wearing a white shirt.
"
"Eine Frau hält einen großen Scheck für ""Kids' Food Basket"".",A woman is holding a large check for Kids Food Basket.,,"A woman carries a big basket for the kids' food pantry.
"
"Die zwei Hunde, einer mit einem Tennisball im Maul, laufen durch hohes Gras.","The two dogs, one with a tennis ball in its mouth, are running through tall grass.",,"The two dogs are running through high grass.
"
Zwei Erwachsene und zwei Kinder sitzen auf einer Parkbank.,Two adults and two children sit on a park bench.,,"Two adults and two children are sitting on a park bench.
"
Eine Frau bläst eine Pusteblume auf einer Wiese.,A woman in a grassy field blows on a dandelion.,,"A woman blows smoke on the grass.
"
Ein Mann verkauft Kartoffeln an eine Gruppe.,A man sells potatoes to a group of people.,,"A man buys a carton of milk at the store.
"
Eine Gruppe versammelt sich auf einer Straße um einem Akkordeonspieler zuzuhören.,A group of people on a street gather together to listen to an accordion.,,"A group of people gathered around a street performer playing the accordion.
"
Ein Mann sitzt auf einer Bank und hört Musik auf seinem iPod.,A man sits on a bench listing to his iPod,,"A man sits on a bench and listens to music from his MP3 player.
"
Ein alter Mann in dicker Kleidung sitzt in der U-Bahn und liest eine Zeitung.,An old man on a subway wearing heavy layered clothing is reading a newspaper.,,"An older man is sitting on a train and reading the newspaper.
"
Ein älterer Mann mit Brille bereitet Fleisch zu.,An older man in glasses is preparing meat.,,"An older man with glasses is eating meat for breakfast.
"
"Ein Mann macht einen Trick auf dem Fahrrad, bei dem er auf dem Hinterreifen balanciert.",A man performing a trick on a bicycle by standing on the pedals while the bike is upright.,,A man rides his bicycle on the sidewalk and balances himself with one foot on each edge of it.
Ein Mann ist am Strand und macht eine Sandskulptur.,A man is at the beach making a sand sculpture.,,"A man is at the beach and makes a sand sculpture.
"
Mehrere Menschen essen an einem Picknicktisch im Park.,Multiple people in a park eating at a picnic table,,"Several people eat at a picnic table in the park.
"
Zwei Frauen werden bei einer Art Baumaßnahme an einem Baum festgeschnallt.,Two women are strapped to a tree in some type of construction job.,,"Two women went on a picnic at the park yesterday afternoon.
"
"Ein Cowboy versucht beim Rodeo, die 8 Sekunden zu schaffen.",A cowboy in a rodeo trying to beat the 8 second clock.,,"A cowboy is trying to ride a bull for eight seconds.
"
Ein Hund springt durch ein brennendes Hindernis.,A dog is jumping through a fiery obstacle.,,"A dog jumped over a burning hill.
"
Eine übergewichtige Frau mit langen schwarzen Haaren in einem rosa Shirt mit Namensschild trägt Lippenstift auf.,An overweight woman with long black hair in a pink shirt with a name tag is applying lipstick.,,A heavy woman with long black hair wearing a red shirt and name tag is carrying shopping bags on her
Ein Mann repariert das Fahrrad eines kleinen Mädchens.,A man fixing a little girl's bicycle.,,"A man repairs a bicycle of a small child.
"
Zwei Mädchen in bauschigen Kleidern tanzen vor ein paar Musikanten auf der Straße.,Two girls in puffy skirts are dancing in front of some musicians in the street.,,"Two girls are dancing before a few musicians on the street.
"
Der gelbe Hund trägt einen Stock übers Wasser.,The yellow dog is carrying a stick by water.,,"The yellow dog is swimming in the water.
"
Ein Mädchen in einem Sweatshirt verdeckt die Sonne.,A girl in a sweater is blocking the suns rays.,,"A girl wearing a sweater greets the sun.
"
Ein Rockkonzert findet statt.,A rock concert is taking place.,,"A rock concert takes place here.
"
Drei Frauen in leuchtenden Farben und mit Kopfbedeckungen halten Karten mit Liebesbotschaften.,Three women in bright colors and headdresses are holding love message cards.,,"Three women wearing bright colors and with headdresses are holding cards with love messages on them.
"
Ein brauner Hund gräbt im Dreck.,A brown dog is digging in the dirt.,,"A brown dog picks up the trash.
"
Ein kleiner Junge in einem weiß gestreiften Shirt und mit einem Stirnband hält einen Tennisschläger.,Young boy in a white striped shirt and headband holding a tennis racket.,,"A little boy is wearing a white striped shirt and carrying an umbrella.
"
Zwei Hunde laufen im Wald weg von der Kamera.,Two dogs running away from the camera in the woods.,,"Two dogs run in the forest away from the camera.
"
Ein Mädchen spielt komplett bekleidet im Springbrunnen.,A girl is playing in the fountain fully clothed.,,"A girl plays completely in the spring fountain.
"
Drei junge Sumoringer stehen und hören einem Ansager zu,Three young sumo wrestlers standing and listening to an announcer,,"Three young sumo wrestlers are standing and listening to an announcer.
"
"Zwei männliche Wanderer inspizieren einen Baumstamm, der am Rand eines Waldweges liegt.",Two male hikers inspect a log by the side of a forest path.,,"Two young hikers are admiring a pine tree along a forest trail.
"
Drei Spieler bringen einen gegnerischen Spieler zu Boden.,Three players bring a team opponent to the ground.,,"Three players are playing a competitive game on the floor.
"
Zwei Jungen überqueren eine Straße in einer Stadt während sie mit einem roten Fußball spielen.,Two boys cross a city street while kicking a red soccer ball.,,"Two boys were playing soccer on a street in a city.
"
Ein Mann hält einen anderen mit seinem Rücken hoch.,A man holding up another with his back.,,"A man is sitting on another person's back high up.
"
"Weißer Hund auf einem Berg dreht sich zu etwas außerhalb des Bildes um, Himmel im Hintergrund.","White dog on mountainside turns to face something offstage, sky in background.",,"The white dog is running around the edge of the mountain behind it, sky in front.
"
Ein Junge fährt Skateboard auf einer Skateboardrampe.,A boy riding a skateboard on a skateboarding ramp,,"A young boy rides his skateboard on a skateboard ramp.
"
Ein Musiker mit langen Haaren spielt Keyboard.,"A long-haired, male musician is playing on a piano.",,"A musician with long hair plays the piano.
"
Drei Sportler halten Blumensträuße und stehen auf dem Siegerpodest.,Three athletes holding bouquets stand on the victory podium.,,"Three soccer players are sitting on the grass and standing on the sidelines.
"
Zwei glatzköpfige Drag Queens in roten Kleidern.,Two bald drag queens in red dresses,,"Two sexy drag queens wearing red dresses.
"
Ein kleiner Junge hängt von einer Kleiderstange.,A young boy is hanging onto a clothing rack.,,"A little boy is hanging from a clothesline.
"
Ein kleines Mädchen in Pink hält sich an einer Stange fest.,A little girl wearing pink is holding on to a bar.,,"A little girl is playing on a swing at the park.
"
Ein Mann in Grün springt auf seinem Motorrad über mehrere andere Motorräder.,A man in green jumps serveral motorbikes on his own motorbike.,,"A man jumps on his motorcycle over several other motorcycles.
"
Eine Frau spielt im Park mit zwei kleinen Jungen.,A woman playing with two young boys at a park,,"A woman is playing in the park with two small children.
"
Vier Personen spielen Fußball auf einem Strand.,Four people are playing soccer on a beach.,,"Four people are playing soccer on the beach.
"
"Zwei Teenagerinnen umarmen sich vor Radfahrern im Hintergrund, eine trägt einen Fahrradhelm.","Two teenage girls hugging, one wearing a bicycle helmet, with cyclists in the background.",,"Two girls were riding bicycles in the background while a man was wearing a helmet.
"
Zwei mittelgroße Hunde laufen über den Schnee.,Two medium sized dogs run across the snow.,,"Two large dogs are running in the snow.
"
"Eine Frau steht auf einem grünen Feld, hält einen weißen Hund und zeigt auf einen braunen Hund.",A woman is standing in a green field holding a white dog and pointing at a brown dog.,,"A woman stands on a green field, holds a white dog and points at a brown one.
"
